料理名,説明,材料,手順,カロリー,タンパク質,脂質,炭水化物,カテゴリ,画像パス
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",411,18.1,21.5,34.3,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",366,19.3,17.4,38.6,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",573,29.2,15.6,78.2,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",435,19.2,22.8,36.3,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",370,19.5,17.5,39.0,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",554,28.2,15.1,75.7,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",422,18.6,22.1,35.2,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",370,19.5,17.5,39.0,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",537,27.4,14.7,73.3,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",433,19.1,22.7,36.1,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",398,21.0,18.9,41.9,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",530,27.0,14.5,72.3,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",403,17.8,21.2,33.7,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",388,20.5,18.4,40.9,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",569,29.0,15.5,77.7,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",421,18.6,22.1,35.1,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",379,20.0,18.0,39.9,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",530,27.0,14.5,72.3,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",433,19.1,22.7,36.1,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",367,19.3,17.4,38.6,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",576,29.3,15.7,78.6,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",409,18.1,21.5,34.1,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",383,20.2,18.2,40.4,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",534,27.2,14.6,72.9,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",414,18.3,21.7,34.5,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",374,19.7,17.8,39.5,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",569,29.0,15.5,77.7,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",425,18.7,22.3,35.4,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",375,19.8,17.8,39.5,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",545,27.8,14.9,74.4,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",422,18.6,22.1,35.2,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",376,19.8,17.8,39.7,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",536,27.3,14.6,73.2,morning,
ふわとろスクランブルエッグと全粒粉パン,ホテルの朝食のようなクリーミーな卵料理です。,"卵 2個
牛乳 大さじ2
バター 10g
塩コショウ 少々
全粒粉食パン 1枚","1. ボウルに卵を割り入れ、牛乳、塩コショウを加えて白身を切るようによく混ぜる。
2. フライパンを中火で熱し、バターを溶かす。
3. 卵液を一気に流し入れ、ゴムベラで外側から内側へ大きく混ぜる。
4. 半熟状態で火を止め、余熱で火を通しながら皿に盛る。
5. トーストしたパンを添えて完成。",430,19.0,22.5,35.9,morning,
アボカドとサラダチキンのトースト,良質な脂質とタンパク質が摂れる最強の朝食。,"食パン 1枚
アボカド 1/2個
サラダチキン 50g
レモン汁 小さじ1
黒胡椒 適量
オリーブオイル 小さじ1","1. アボカドは種を取り、スプーンですくってボウルに入れ、フォークで粗く潰す。
2. レモン汁と塩（分量外）を混ぜて変色を防ぐ。
3. 食パンをトーストする。
4. パンにアボカドペーストを塗り、スライスしたサラダチキンを乗せる。
5. 仕上げにオリーブオイルと黒胡椒を振る。",395,20.8,18.8,41.7,morning,
鯖缶と大根おろしの朝定食,DHA/EPA豊富な鯖缶を使った、包丁いらずの和食。,"鯖水煮缶 1/2缶（約90g）
大根 5cm
醤油 小さじ1
ご飯 150g
味噌汁（インスタント可） 1杯","1. 大根は皮をむき、すりおろして軽く水気を切る。
2. 器に鯖の水煮を盛り付け、大根おろしを添える。
3. おろしに醤油を少し垂らす。
4. 温かいご飯と味噌汁を準備して定食にする。",561,28.6,15.3,76.6,morning,
